"V-rep data recorded Tue 25 Oct 2016 12:21:03 PM PDT "
"% Right Stride Frequency   = 0"
"% Left Stride Frequency    = 0"
"% Phase (Fractional)   = 0"
"% velroach+telem Vrep sim"
"Motor Gains = [ 1.000,  1.000,  1.000,0,0,  1.000,  1.000,  1.000,0,0]"
"% Columns: "
"% time | LPos | RPos | LRef | RRef | LPWM | RPWM | GyroX | GyroY | GyroZ | AX | AY | AZ | LEMF | REMF | BAT "
  510000,     3134,   -16785,     4624,   -15400,    -0.0,    -0.0,    -53,    -35,  -2957,  -799,    504,  -4207,   9.512,   9.094, 912
  520000,     4120,   -15833,     5607,   -14417,     0.0,    -0.0,    -26,     -3,  -3187,  -449,    466,  -3969,   9.449,   9.123, 912
  530000,     5135,   -14887,     6590,   -13434,     0.0,    -0.0,    227,    146,  -2968,    93,    519,  -3679,   9.733,   9.074, 912
  540000,     6075,   -14012,     7574,   -12451,     0.0,    -0.0,    459,    177,  -2468,   555,    448,  -3924,   9.016,   8.387, 912
  550000,     7030,   -13137,     8557,   -11468,     0.0,    -0.0,    689,      7,  -1883,   605,    586,  -4164,   9.153,   8.389, 912
  560000,     8079,   -12160,     9540,   -10485,     0.0,    -0.0,    629,   -399,  -1235,   487,    409,  -4428,  10.055,   9.366, 912
  570000,     9040,   -11184,    10523,    -9502,     0.0,    -0.0,    686,   -797,   -718,   370,    209,  -4398,   9.213,   9.358, 912
  580000,    10017,   -10183,    11506,    -8519,     0.0,    -0.0,    700,  -1186,   -496,   471,    -90,  -4583,   9.372,   9.592, 912
  590000,    10995,    -9185,    12489,    -7536,     0.0,    -0.0,    908,  -1646,   -334,   459,     95,  -4410,   9.374,   9.567, 912
  600000,    11972,    -8247,    13472,    -6553,    -0.0,    -0.0,   1076,  -2121,   -199,   215,    121,  -4152,   9.371,   9.001, 912
  610000,    12938,    -7219,    14455,    -5570,    -0.0,    -0.0,    148,   -876,     64,   171,    287,  -3857,   9.252,   9.848, 912
  620000,    13900,    -6196,    15438,    -4587,    -0.0,     0.0,    502,    724,   1570,   146,    268,  -4087,   9.228,   9.809, 912
  630000,    14901,    -5214,    16421,    -3604,    -0.0,    -0.0,    340,    753,   1506, -1083,   -390,  -4365,   9.596,   9.413, 912
  640000,    15892,    -4247,    17404,    -2621,    -0.0,    -0.0,    393,    702,    824, -1492,   -679,  -3343,   9.506,   9.278, 912
  650000,    16872,    -3262,    18387,    -1638,    -0.0,    -0.0,    751,    784,    810,  -732,   -195,  -3502,   9.395,   9.444, 912
  660000,    17855,    -2258,    19370,     -655,    -0.0,    -0.0,    692,    795,    932,  -373,    294,  -4354,   9.417,   9.622, 912
  670000,    18834,    -1275,    20353,      328,    -0.0,    -0.0,    426,    550,    851,  -531,     78,  -4366,   9.388,   9.429, 912
  680000,    19803,     -277,    21336,     1311,    -0.0,    -0.0,     65,     17,    810,  -546,   -368,  -4321,   9.297,   9.565, 912
  690000,    20770,      687,    22319,     2294,    -0.0,    -0.0,     27,     83,    730,  -385,   -596,  -5084,   9.265,   9.246, 912
  700000,    21769,     1635,    23302,     3277,    -0.0,    -0.0,   -180,     52,    507,   -22,    -15,  -4142,   9.579,   9.082, 912
  710000,    22754,     2623,    24285,     4260,    -0.0,    -0.0,   -468,    115,     99,   411,     71,  -3610,   9.448,   9.475, 912
  720000,    23735,     3622,    25268,     5243,    -0.0,    -0.0,   -497,     98,     62,   895,    283,  -3853,   9.403,   9.574, 912
  730000,    24743,     4604,    26251,     6226,    -0.0,    -0.0,   -498,     85,     56,  1103,    -76,  -4079,   9.661,   9.415, 912
  740000,    25717,     5587,    27234,     7209,    -0.0,     0.0,   -795,    120,     27,  1089,   -302,  -4025,   9.344,   9.433, 912
  750000,    26661,     6589,    28217,     8192,    -0.0,     0.0,   -898,     92,     41,   647,   -334,  -3519,   9.049,   9.606, 912
  760000,    27654,     7558,    29200,     9175,    -0.0,     0.0,   -932,    101,     14,   246,   -314,  -3720,   9.515,   9.289, 912
  770000,    28605,     8572,    30183,    10159,    -0.0,     0.0,   -987,      7,    -73,  -147,     -5,  -3915,   9.121,   9.717, 912
  780000,    29598,     9559,    31166,    11142,    -0.0,     0.0,   -648,    163,   -203,  -352,    385,  -4116,   9.524,   9.464, 912
  790000,    30592,    10509,    32150,    12125,    -0.0,     0.0,   -552,    185,   -179,  -344,    495,  -4118,   9.527,   9.106, 912
  800000,    31608,    11490,   -32403,    13108,    -0.0,     0.0,   -350,    263,   -459,  -187,    560,  -3999,   9.739,   9.410, 912
  810000,    32561,    12482,   -31420,    14091,    -0.0,     0.0,   -292,    303,   -589,  -189,    553,  -3973,   9.133,   9.504, 912
  820000,   -31988,    13455,   -30437,    15074,    -0.0,     0.0,      3,    288,   -797,  -104,    769,  -3833,   9.466,   9.333, 912
  830000,   -31029,    14436,   -29454,    16057,    -0.0,    -0.0,    338,    233,   -940,  -232,    768,  -3879,   9.196,   9.400, 912
  840000,   -30062,    15450,   -28471,    17040,    -0.0,    -0.0,    939,    264,   -961,  -143,    690,  -4286,   9.267,   9.723, 912
  850000,   -29030,    16451,   -27488,    18023,    -0.0,    -0.0,   1076,    289,   -894,  -284,    517,  -4862,   9.899,   9.599, 912
  860000,   -28071,    17412,   -26505,    19006,    -0.0,    -0.0,   1195,    296,  -1003,  -333,    578,  -4194,   9.188,   9.210, 912
  870000,   -27097,    18444,   -25522,    19989,    -0.0,    -0.0,   1251,    164,  -1048,    -9,    550,  -3740,   9.343,   9.899, 912
  880000,   -26093,    19530,   -24539,    20972,    -0.0,    -0.0,   1387,     59,   -986,   204,    148,  -3819,   9.628,  10.414, 912
  890000,   -25094,    20497,   -23556,    21955,    -0.0,     0.0,   1530,    -33,   -820,   298,   -167,  -3807,   9.571,   9.266, 912
  900000,   -24113,    21504,   -22573,    22938,     0.0,     0.0,   1707,   -125,   -472,   376,   -308,  -3930,   9.413,   9.652, 912
  910000,   -23119,    22486,   -21590,    23921,     0.0,     0.0,   1716,   -229,   -276,   425,   -520,  -3927,   9.522,   9.424, 912
  920000,   -22164,    23521,   -20607,    24904,    -0.0,     0.0,   1384,   -333,   -179,   217,   -610,  -3909,   9.160,   9.919, 912
  930000,   -21181,    24510,   -19624,    25887,    -0.0,    -0.0,   -377,  -1520,    222,  -122,   -613,  -3886,   9.421,   9.482, 912
  940000,   -20169,    25470,   -18641,    26870,    -0.0,    -0.0,    379,   -608,     79,  -969,  -1066,  -5344,   9.706,   9.207, 912
  950000,   -19217,    26463,   -17658,    27853,    -0.0,    -0.0,    717,     51,    729,  -791,  -1858,  -4593,   9.127,   9.514, 912
  960000,   -18228,    27415,   -16675,    28836,    -0.0,    -0.0,    573,    161,    770, -1094,   -224,  -3871,   9.487,   9.135, 912
  970000,   -17241,    28409,   -15692,    29819,    -0.0,    -0.0,    525,    236,    846,  -926,    477,  -4217,   9.457,   9.530, 912
  980000,   -16235,    29394,   -14709,    30802,    -0.0,    -0.0,    434,    339,   1155,  -617,    454,  -3739,   9.645,   9.440, 912
  990000,   -15225,    30376,   -13726,    31785,    -0.0,    -0.0,     71,    454,   1408,  -479,    243,  -4022,   9.686,   9.415, 912
 1000000,   -14213,    31350,   -12743,    32768,    -0.0,    -0.0,    133,    140,   1665,  -333,   -682,  -4129,   9.700,   9.340, 912
 1010000,   -13238,    32338,   -11760,   -31785,    -0.0,    -0.0,    -18,    449,   1760,  -304,  -1452,  -4260,   9.348,   9.474, 912
 1020000,   -12249,   -32193,   -10777,   -30801,    -0.0,    -0.0,   -567,    590,   1796,    35,  -1302,  -3782,   9.478,   9.628, 912
 1030000,   -11291,   -31208,    -9794,   -29818,    -0.0,    -0.0,   -481,    140,   1729,   635,   -644,  -3603,   9.189,   9.450, 912
 1040000,   -10342,   -30214,    -8811,   -28835,    -0.0,    -0.0,   -619,    527,   1533,   883,   -635,  -4483,   9.097,   9.529, 912
 1050000,    -9339,   -29232,    -7827,   -27852,    -0.0,    -0.0,  -1265,    429,   1246,  1035,   -774,  -4101,   9.615,   9.410, 912
 1060000,    -8352,   -28241,    -6844,   -26869,    -0.0,     0.0,   -972,    116,   1005,  1045,   -498,  -3767,   9.464,   9.499, 912
 1070000,    -7344,   -27249,    -5861,   -25886,    -0.0,     0.0,  -1125,    360,    291,   703,   -316,  -4003,   9.661,   9.519, 912
 1080000,    -6372,   -26256,    -4878,   -24903,    -0.0,     0.0,  -1081,    183,      5,   471,    193,  -3985,   9.322,   9.512, 912
 1090000,    -5414,   -25260,    -3895,   -23920,    -0.0,     0.0,  -1257,    175,    137,   138,   -345,  -3959,   9.184,   9.556, 912
 1100000,    -4404,   -24260,    -2912,   -22937,    -0.0,     0.0,  -1299,    150,    258,    44,   -251,  -3815,   9.685,   9.587, 912
 1110000,    -3409,   -23255,    -1929,   -21954,    -0.0,     0.0,  -1526,     -1,    253,  -321,   -181,  -3842,   9.539,   9.629, 912
 1120000,    -2450,   -22262,     -946,   -20971,    -0.0,     0.0,  -1561,    -90,    375,  -499,    -86,  -4091,   9.191,   9.526, 912
 1130000,    -1477,   -21265,       37,   -19988,    -0.0,     0.0,  -1517,     30,    304,  -332,    -13,  -4276,   9.328,   9.553, 912
